Sociais Aplicadas PIBIC;;;;;;
P20;DIR01;DIR02;DIR03;DIR04;DIR05;DIR06
P70;HIST07;HIST08;HIST09;HIST10;GEO01;GEO02
P74;PSICO01;PSICO02;PSICO03;PSICO04;PSICO05;PSICO06
P75;PSICO07;PSICO08;PSICO09;PSICO10;PSICO11;PSICO12
P71;PSICO13;PSICO14;EDU01;EDU02;EDU03;EDU04
P66;EDU05;EDU06;EDU07;EDU08;EDU09;EDU10
P62;EDU11;EDU12;EDU13;EDU14;EDU15;EDU16
P89;EDU17;EDU18;EDU19;EDU20;EDU21;EDU22
P92;EDU23;EDU24;EDU25;EDU26;EDU27;EDU28
P95;EDU29;EDU30;EDU31;EDU32;EDU33;EDU34
P96;EDU35;EDU36;EDU37;EDU38;EDU39;EDU40
P93;EDU41;EDU42;EDU43;EDU44;EDU45;EDU46
P90;EDU47;EDU48;CPOLI01;CPOLI02;TEO01;TEO02
P87;TEO03;TEO04;TEO05;TEO06;TEO07;TEO08
P88;TEO09;TEO10;TEO11;TEO12;TEO13;TEO14
P91;TEO15;TEO16;TEO17;TEO18;TEO19;TEO20
P94;TEO21;TEO22;TEO23;TEO24;TEO25;TEO26
P97;TEO27;TEO28;TEO29;TEO30;TEO31;TEO32
P85;TEO33;TEO34;LING01;LING02;LING03;LING04
P84;LING05;LETR01;LETR02;LETR03;LETR04;LETR05
P83;LETR06;LETR07;ART01;ART02;ART03;iFILO01
P80;iANTRO01;iLETR01;iLETR02;;;
P83;LETR06;LETR07;ART01;ART02;ART03;iFILO01
P80;iANTRO01;iLETR01;iLETR02;;;
;;;;;;
EXATAS PIBITI;;;;;;
P01;CCOMP17T;CCOMP18T;CCOMP19T;ELE03T;ELE04T;MEC11T
P02;MEC12T;EQ04T;ESAN22T;ESAN23T;ESAN24T;ESAN25T
P03;ESAN26T;ESAN27T;EPR16T;EPR17T;EPR18T;EPR19T
P04;EPR20T;EPR21T;EPR22T;EPR23T;EPR24T;EPR25T
P05;EPR26T;EBIO06T;EBIO07T;EBIO08T;EBIO09T;EBIO10T
P06;iEQ02T;iESAN02T;iEPR06T;iEPR07T;;
;;;;;;
SAÚDE PIBITI;;;;;;
P13;MED54T;MED55T;MED56T;MED57T;MED58T;NUT10T
P16;NUT11T;FISIO04T;FISIO05T;FISIO06T;BIOTEC10T;BIOTEC11T
P17;BIOTEC12T;BIOTEC13T;iBIOTEC07T;iMU03T;iMICRO02T;iPARA01T
P18;EDU49T;EDU50T;;;;
;;;;;;
AGRÁRIAS PIBITI;;;;;;
P07;ZOO07T;AGRO23T;AGRO24T;AGRO25T;AGRO26T;AGRO27T
P08;FLORE24T;FLORE25T;FLORE26T;FLORE27T;MEDVET46T;MEDVET47T
P09;MEDVET48T;MEDVET49T;MEDVET50T;MEDVET51T;MEDVET52T;MEDVET53T
P12;MEDVET54T;MEDVET55T;MEDVET56T;MEDVET57T;MEDVET58T;CTA08T
P11;CTA09T;CTA10T;CTA11T;CTA12T;CTA13T;CTA14T
P10;iMEDVET05T;iCTA02T;iCTA03T;;;
;;;;;;
Sociais Aplicadas PIBITI;;;;;;
P15;PLAN18T;PLAN19T;PLAN20T;DES03T;iDIR05T;
FIM;FIM;FIM
